"Bill of Material for "
"On 2018.09.01. at 10:36:01"

"Comment","Pattern","Quantity","Components"

"AD8131","","1","AMP_1","High Speed Differential Driver"
"AD9215","","1","ADC_1","Analog Digital Converter"
"ADF4355","","1","SYTH_1","Sythesizer with integrated VCO"
"ADL5365","","2","MIX_1, MIX_2","RF Mixer"
"ADR3412","","1","VREF_1","1.2 Voltage Ref Source"
"Balun","","5","B1, B2, B3, B4, B5","SMD Balun"
"Cap1","0805 SMD Passive","203","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C152, C153, C154, C155, C156, C157, C158, C159, C160, C161, C162, C163, C164, C165, C166, C167, C168, C169, C170, C171, C172, C173, C174, C175, C176, C177, C178, C179, C180, C181, C182, C183, C184, C185, C186, C187, C188, C189, C190, C191, C192, C193, C194, C195, C196, C197, C198, C199, C200, C201, C202, C203","SMD Capacitor"
"DAC9744","","1","DAC_1","Digital Analog Converter"
"DC_Connector","","2","Conn_1, Conn_2","Coaxial DC connector - female"
"Ferrit Bead","","2","FB1, FB2","SMD Inductor"
"Header1","","6","Header1, Header2, Header3, Header5, Header7, Header8","29 Pin Header"
"Header2","","2","Header4, Header6","48 Pin Header"
"HMC789ST89E","","3","AMP_2, AMP_3, AMP_4","Gain Block MMIC"
"HMC8073","","2","DIG_ATT_1, DIG_ATT_2","Digital Attenuator"
"Inductor","0805 SMD Passive","28","L1, L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L28","SMD Inductor"
"LED_Green","","12","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12","Diode"
"LT5538","","2","DET_1, DET_2","Detector"
"LT8646S","","1","SWPS_1","Step-Down Silent Switcher Power Supply"
"LTC6905","","1","OSC_1","Fixed frequency oscillator"
"LTI1965","","4","LDO_1, LDO_2, LDO_3, LDO_4","Low Dropout Linear Regulator"
"Resistor","0805 SMD Passive","150","R1, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R83, R84, R85, R86, R87, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151","SMD Resistor"
"SMA1","","9","SMA5, SMA6, SMA7, SMA8, SMA9, SMA10, SMA11, SMA12, SMA13","SMA Female"
"SMA1","SMA Edge FP","4","SMA1, SMA2, SMA3, SMA4","SMA Female"
"Socket1","","8","Socket1, Socket2, Socket3, Socket4, Socket5, Socket6, Socket7, Socket8","30 Pin Socket"
"Switch","","1","Power Switch","3 state switch"
"VariableResistor","TC33-2","1","R2","SMD Variable Resistor"
