Field=Comment~String~Comment~95|Field=Digi Key Order Code~String~Digi Key Order Code~119|Field=Quantity~Integer~Quantity~45|Field=Value~String~Value~95|Field=Designator~String~Designator~68|Field=Order Code~String~Order Code~77|Field=PartNumber~String~PartNumber~112|Field=Description~String~Description~127|Field=Manufacturer~String~Manufacturer~127|Field=Mateing part~String~Mateing part~127|Field=PinNumber~String~PinNumber~127|Field=Pins~Integer~Pins~127|Field=Pitch~String~Pitch~127|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~RadioProject.PrjPcb|ReportField=ProjectFullPath~D:\DIY\HW\Radio\RadioProject.PrjPcb|ReportField=Title~Bill of Materials For Project [RadioProject.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~456|ReportField=ReportTime~17:49:00|ReportField=ReportDate~2018.09.01.|ReportField=ReportDateTime~2018.09.01. 17:49:00|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~2018.09.01.|ReportField=CurrentTime~17:41:31|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\DIY\HW\ADC_board.SchDoc|ReportField=DocumentName~ADC_board.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~2018.09.01.|ReportField=Organization~|ReportField=ProjectName~RadioProject.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~9|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~RadioProject.PrjPcb|ReportField=DataSourceFullPath~D:\DIY\HW\Radio\RadioProject.PrjPcb
AD8131||1||AMP_1|AD8131AR|AD8131|High Speed Differential Driver|Analog Devices|||8|
AD9215||1||ADC_1||AD9215|Analog Digital Converter|Analog Devices|||28|
ADF4355||1||SYTH_1|ADF4355-2BCPZ|ADF4355|Sythesizer with integrated VCO|Analog Devices|||33|
ADL5365||2||MIX_1, MIX_2|ADL5365ACPZ-R7|ADL5365|RF Mixer|Analog Devices|||21|
ADR3412||1||VREF_1|ADR3412ARJZ-R2|ADR3412|1.2 Voltage Ref Source|Analog Devices|||6|
Balun||1||B3||MABA-007237-ETC410|SMD Balun|MACOM|||5|
Balun||1||B4||HHM1918A2|SMD Balun|TDK|||4|
Balun||3||B1, B2, B5||MABA-009180-500MHZ, CX2045LNL, CX2045LNL|SMD Balun|MACOM, Pulse Electronic, Pulse Electronic|||6|
Cap1||1|100uF|C118|||SMD Capacitor||||2|
Cap1||1|220pF|C203|||SMD Capacitor||||2|
Cap1||1|330pF|C119|||SMD Capacitor||||2|
Cap1||1|33nF|C129|||SMD Capacitor||||2|
Cap1||1|4.7pF|C117|||SMD Capacitor||||2|
Cap1||14|1uF|C4, C9, C13, C32, C35, C41, C85, C94, C116, C149, C154, C159, C186, C196|||SMD Capacitor||||2|
Cap1||2|0.47uF|C115, C121|||SMD Capacitor||||2|
Cap1||2|1.5nF|C126, C132|||SMD Capacitor||||2|
Cap1||2|184.8pF|C27, C55|||SMD Capacitor||||2|
Cap1||2|1pF|C77, C202|||SMD Capacitor||||2|
Cap1||2|272.3pF|C24, C53|||SMD Capacitor||||2|
Cap1||2|3.54pF|C23, C51|||SMD Capacitor||||2|
Cap1||2|3.5nF|C101, C102|||SMD Capacitor||||2|
Cap1||2|3pF|C79, C180|||SMD Capacitor||||2|
Cap1||2|64.31pF|C18, C46|||SMD Capacitor||||2|
Cap1||2|64.3pF|C31, C57|||SMD Capacitor||||2|
Cap1||2|85.88pF|C22, C50|||SMD Capacitor||||2|
Cap1||2|93.57pF|C19, C48|||SMD Capacitor||||2|
Cap1||20|1nF|C7, C12, C16, C34, C37, C69, C70, C91, C96, C99, C138, C153, C158, C164, C165, C185, C193, C198, C199, C200|||SMD Capacitor||||2|
Cap1||21|10pF|C59, C68, C73, C75, C76, C81, C82, C83, C130, C131, C135, C142, C145, C148, C150, C167, C171, C173, C175, C177, C178|||SMD Capacitor||||2|
Cap1||3|0.3pF|C89, C163, C194|||SMD Capacitor||||2|
Cap1||3|20pF|C90, C160, C190|||SMD Capacitor||||2|
Cap1||4|22pF|C62, C66, C168, C170|||SMD Capacitor||||2|
Cap1||4|260.4pF|C21, C26, C49, C52|||SMD Capacitor||||2|
Cap1||4|5.67pF|C20, C28, C47, C54|||SMD Capacitor||||2|
Cap1||4|560pF|C67, C72, C172, C174|||SMD Capacitor||||2|
Cap1||52|100nF|C1, C2, C5, C6, C10, C11, C14, C15, C17, C25, C29, C30, C33, C36, C38, C39, C40, C43, C45, C56, C58, C60, C61, C65, C71, C74, C84, C88, C97, C114, C125, C127, C128, C133, C134, C139, C140, C141, C144, C146, C147, C151, C152, C157, C162, C169, C176, C188, C189, C191, C192, C197|||SMD Capacitor||||2|
Cap1||6|1.5pF|C95, C100, C155, C156, C183, C184|||SMD Capacitor||||2|
Cap1||7|10uF|C3, C8, C64, C103, C104, C105, C106|||SMD Capacitor||||2|
Cap1||7|2.2uF|C98, C112, C113, C123, C124, C166, C182|||SMD Capacitor||||2|
Cap1||8|100pF|C44, C63, C93, C136, C137, C161, C187, C195|||SMD Capacitor||||2|
Cap1||8|4.7uF|C78, C107, C108, C109, C110, C111, C122, C179|||SMD Capacitor||||2|
Cap1||9|10nF|C42, C80, C86, C87, C92, C120, C143, C181, C201|||SMD Capacitor||||2|
DAC9744||1||DAC_1|AD9744ARZ|AD9744|Digital Analog Converter|Analog Devices|||28|
DC_Connector|CP-037A-ND|2||Conn_1, Conn_2|||Coaxial DC connector - female||EP501A-ND||2|
DC_Connector_M|EP501A-ND|3||Conn_3, Conn_4, Conn_5|||Coaxial DC connector - male||CP-037A-ND||2|
Ferrit Bead||2|300Ohm @2MHz|FB1||FB20022-4B-RC|Ferrit Bead|Bourns|||2|
Header1|M20-9761546-ND|6||Header1, Header2, Header3, Header5, Header7, Header8|||29 Pin Header|||30|30|2.54mm
Header2|3M156386-48-ND|2||Header4, Header6|||48 Pin Header|||48|48|2.54mm
HMC789ST89E||3||AMP_2, AMP_3, AMP_4|HMC789ST89E|HMC789ST89E|Gain Block MMIC|Analog Devices|||4|
HMC8073||2||DIG_ATT_1, DIG_ATT_2|HMC8073LP3DE|HMC8073|Digital Attenuator|Analog Devices|||17|
Inductor||2|0nH|L2, L13|||SMD Inductor||||2|
Inductor||2|1.5nH|L21, L28|||SMD Inductor||||2|
Inductor||2|333.3nH|L7, L18|||SMD Inductor||||2|
Inductor||2|339.2nH|L4, L16|||SMD Inductor||||2|
Inductor||2|7.5nH|L24, L25|||SMD Inductor||||2|
Inductor||2|722.6nH|L6, L15|||SMD Inductor||||2|
Inductor||3|18nH|L22, L26, L27|||SMD Inductor||||2|
Inductor||4|39.78nH|L1, L10, L11, L20|||SMD Inductor||||2|
Inductor||4|450.5nH|L3, L9, L12, L19|||SMD Inductor||||2|
Inductor||4|9.82nH|L5, L8, L14, L17|||SMD Inductor||||2|
Inductor|495-6782-1-ND|1|1.2uH|L23|||SMD Inductor||||2|
LED_Green|160-1426-1-ND|12||LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12||LTST-C171KGKT|Diode|LITEON|||2|
LT5538||2||DET_1, DET_2|LT5538IDD#PBF|LT5538|Detector|Analog Devices|||9|
LT8646S||1||SWPS_1|LT8646SEV#PBF|LT8646S|Step-Down Silent Switcher Power Supply|Analog Devices|||38|
LTC6905||1||OSC_1|LTC6905-100|LTC6905-100|Fixed frequency oscillator|Analog Devices|||5|
LTI1965||4||LDO_1, LDO_2, LDO_3, LDO_4|LT1965EDD#PBF|LTI1965|Low Dropout Linear Regulator|Analog Devices|||9|
Resistor||1|1.75k|R98|||SMD Resistor||||2|
Resistor||1|100k|R107|||SMD Resistor||||2|
Resistor||1|17.8k|R109|||SMD Resistor||||2|
